,shop_name,phone_number,address,email,category,website
0,PHỤ KIỆN CỬA CUỐN,0846668887,"Khu CN Cau Gao, Dan phuong, Ha Noi, phường(xã) Xã Đan Phượng, Huyện Đan Phượng, Hà Nội",,['Nhà cửa'],https://www.sendo.vn/shop/phu-kien-cua-cuon/
1,phukiencongnghiep,0962536077,"ct6 xala, phường(xã) Phường Kiến Hưng, Quận Hà Đông, Hà Nội",,['Tân Trang Nhà Cửa'],https://www.sendo.vn/shop/phukiencongnghiep/
2,xích đu nhún nhảy GGK,0363131234,"7a Lê Đức Thọ, phường(xã) Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",,['Mẹ và bé'],https://www.sendo.vn/shop/xich-du-nhun-nhay-ggk/
3,Hannashophcm,0987536961,"16 nguyễn văn lượng, phường(xã) Phường 06, Quận Gò Vấp, Hồ Chí Minh",,[],https://www.sendo.vn/shop/hannashophcm/
4,,,,,,
5,MINH TOYS,0903280094,"391 PHẠM VĂN CHÍ, phường(xã) Phường 03, Quận 6, Hồ Chí Minh",,[],https://www.sendo.vn/shop/minh-toys/
6,Trường Hương,0947493876,"xã Tân Định, phường(xã) Xã Tân Định, Huyện Bắc Tân Uyên, Bình Dương",,['Bách Hóa Tổng Hợp'],https://www.sendo.vn/shop/truong-huong/
7,Chuyên nước hoa sỉ lẻ,0338693320,"41B Mai Thị Hồng Hạnh Vĩnh Lợi Rạch Giá Kiên Giang, phường(xã) Phường Vĩnh Lợi, Thành phố Rạch Giá, Kiên Giang",,['Mẹ và bé'],https://www.sendo.vn/shop/chuyen-nuoc-hoa-si-le/
8,,,,,,
9,,,,,,
10,shop son,0975234109,"Xã Tứ Mĩ, phường(xã) Xã Tứ Mỹ, Huyện Tam Nông, Phú Thọ",,[],https://www.sendo.vn/shop/shop-son/
11,,,,,,
12,jkahooab,0817053018,"hem 313, phường(xã) Phường Vĩnh Quang, Thành phố Rạch Giá, Kiên Giang",,[],https://www.sendo.vn/shop/jkahooab/
13,cô tiên  dễ  thương,0812318882,"thị tân, phường(xã) Xã Tân Phúc, Huyện Ân Thi, Hưng Yên",,"['Thời trang nữ', 'Thời trang nam', 'Nhà cửa']",https://www.sendo.vn/shop/co-tien-de-thuong/
14,Phương Anh Rose,0976888797,"Quất Tỉnh Quất Động Thường Tín Hà Nội, phường(xã) Xã Quất Động, Huyện Thường Tín, Hà Nội",,['Thời trang nữ'],https://www.sendo.vn/shop/phuong-anh-rose/
15,GàConStore7417,0933530803,"B9/15 D2 Quốc Lộ 50, phường(xã) Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh",,['Sức khỏe & Làm đẹp'],https://www.sendo.vn/shop/gaconstore7417/
16,Le Mignon Boutique,0349114520,"11 Phương Liệt, phường(xã) Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",,['Thời trang nam'],https://www.sendo.vn/shop/le-mignon-boutique/
17,Thực phẩm dinh dưỡng Vinahappy,0968242628,"528 Huỳnh Tấn Phát, phường(xã) Phường Bình Thuận, Quận 7, Hồ Chí Minh",,['Bách Hóa Tổng Hợp'],https://www.sendo.vn/shop/thuc-pham-dinh-duong-vinahappy/
18,Ngọc Anh Beauty,0886222216,"Số nhà 36 Ngõ 38 Xuân La, phường(xã) Phường Xuân La, Quận Tây Hồ, Hà Nội",,[],https://www.sendo.vn/shop/ngoc-anh-beauty/
19,ĐỒ GỖ TRUNG HIẾU,0948318115,"XÓM 9 LIÊN MINH xã HẢI MINH huyện HẢI HẬU tỉnh NAM ĐỊNH, phường(xã) Xã Hải Minh, Huyện Hải Hậu, Nam Định",,[],https://www.sendo.vn/shop/do-go-trung-hieu/
20,MUCKHOHALONG,0364279313,"169/119 ngõ gốc đề, phường(xã) Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",,[],https://www.sendo.vn/shop/muckhohalong/
